review#,submission#,review_assignment#,reviewer name,field#,review_comments,overall evaluation - score (ignore),overall evaluation score,subreviewer info (ignore),subreviewer info (ignore),subreviewer info (ignore),subreviewer info (ignore),Date of review submission,Time of review submission,recommendation for best paper
67,18,176,Anxxxx Hixx,3,"(OVERALL EVALUATION) The authors introduce their NLP approach to disambiguation and language dynamics, in particular the detection of new meanings and word meaning shifts. 

The paper has a very strong focus on the baseline an evaluation, with the novelty of the approach being merely sketched. Unfortunately, significant related work on disambiguation is missing from the non-NLP field, such as ""An open-source toolkit for mining Wikipedia"", ""Improving access to large-scale Digital libraries through Semantic-enhanced Search and Disambiguation"", as well as work on Gerbil- the General Entity Annotation Benchmark Framework, to name just a few. 

The evaluation is described in detail, especially the detection of novel senses and the detection of known shifts. However, the authors describe their results in detail (for some concrete examples) but do not compare with any other approaches (beyond their two baseline algorithms), which makes evaluating the impact of their results difficult. We suggest shortening abstract and introduction, as well as Section 3, to make room for more details on comparison to other approaches in their experiments.  

The paper appears as if mere lip-service is paid to Digital Libraries by mentioning them just once in the introduction. Clearer discussion in how this research would benefit digital libraries (beyond generic 'large data') could make the paper more relevant to the JCDL audience.","Overall evaluation: 1
Reviewer's confidence: 3
Recommend for best paper: no",1,,,,,2/18/2018,19:00,no
68,20,74,Hunxxxxxxx Cxx,1,"(OVERALL EVALUATION) This workshop proposes to gather the studies on the knowledge discovery from digital libraries.  My main concern of this proposal is that such a scope is probably too large for a workshop and very likely to be highly overlapped with the main conference. The proposed topics of interest include very broad topics (e.g., artificial intelligence, big data analytics, information retrieval, etc.); some of which I believe even larger than the topics of interest for the main conference.  As a result, it is perhaps inappropriate to include this proposal as a workshop for JCDL.

The organizers are suggested to list some prospective program committee members to show that the organizers are well prepared.","Overall evaluation: -1
Reviewer's confidence: 4",-1,,,,,1/24/2018,2:47,no
69,20,352,Laxxx Soxxxx,2,"(OVERALL EVALUATION) The workshop aims at promoting knowledge discovery for the digital library, which might be a potential research topic. However, I think the topic of knowledge discovery is too broad. Organizers should at least mention examples of possible tasks willing to be solved by knowledge discovery technics. What are the downstream tasks and the long-term objectives in the field? I have the feeling that any work feeling with data mining/machine learning/big data/?€? might fit with the topic. In my sense, the ????topics of interest???? item might be more particularly addressed to research challenges.

Otherwise, important dates and submission details sound good. Organizers have publications in related fields but nothing is said about their experience in organizing workshops.","Overall evaluation: -1
Reviewer's confidence: 3",-1,,,,,1/27/2018,14:18,no
70,20,402,Dxx W,3,"(OVERALL EVALUATION) Knowledge discovering is related to digital libraries but not quite new. The topics listed in the proposal seem a bit decentralized and covers everything including big data analytics, artificial intelligence, information retrieval, etc. As a workshop, I think it should be focused on a specific field. In addition, the proposal is simple, not considering some detailed factors like the acceptance rate, the audience, how to call for papers, etc. It even does not tell the brief bio about organizers. I think it should be further carefully planned.","Overall evaluation: 0
Reviewer's confidence: 4",0,,,,,1/28/2018,18:44,no
72,21,20,Suxxx Alxxx,1,"(OVERALL EVALUATION) relevance to JCDL: This study explores an important topic -- what metric companies can use as a guide for strategic decisions about research investments. Linking research and outcomes is important for all sectors however a clearer linkage of the relevancy to JCDL is needed. 

 novelty/originality: The approach used by the researchers -- linking a comprehensive review of patents with revenue generation as reported in the Fortune 500 rankings is sound and extends work undertaken in the past. It does offer a novel approach adding the concept of temporal buckets.

 methodology: The methodology is well thought out and has checks in place to achieve rigor. The study works with a substantial dataset (2.6 million full txt articles and 93 million patent citations) and identifies rigorous processes including a full suite of preprocessing steps.

 style/quality of writing: This paper is very well written both in terms of its organization and style.  The argument is clearly stated following a logical progression that provides the reader with scaffolding for understanding the impetus for the work, the design of the research, the experimental setup and the results.  In addition the writing is easy to read with terms being defined and concepts being described in easy-to-understand language. 

evaluation: the study results are interesting and well presented. The possible explanations offer interesting analyses of the results and insights that are useful. The addition of case studies offers further insight and suggests the authors were working to triangulate results which adds further credibility to their work.

 replicability: The description of the study  appears to be thorough and explicit which suggests it would be replicable. For example the description of bucket construction, which is a unique piece of this study, appears to be sufficiently detailed for replication. I use the word ""appears"" since my own experience is that until replication is tried it is not possible to imagine every condition that may diminish replicability.

 adequacy of references: References are acceptable for this paper which wisely uses much of its specified space on this study after providing an adequate lit review to set context","Overall evaluation: 2
Reviewer's confidence: 4
Recommend for best paper: no",2,,,,,2/24/2018,20:07,no
73,21,238,Jonxxxxx Lexxx,2,"(OVERALL EVALUATION) This paper details an interesting study into ranking trends of Fortune 500 in terms of revenue and innovation (measured via patents). The authors propose temporal buckets for aggregation and analysis. The authors present several breakdowns and analyses for sets/buckets of Fortune 500 companies. Analysis of content found within patent data also provides an interesting source of network science based insights into the interworkings of Fortune 500 companies. The concept of temporal ranked shifts itself is an interesting and relevant topic to retrieval. The paper itself is well written. 

However, this paper does not propose new insights, approaches, techniques, or theory that are revelant to the JCDL community at large. While this paper presents interesting insights on several aspects of their dataset and case studies, the proposed analysis appears more ancedotal than exhaustive. The references are suitable for the topic but indicate that an enterprise, economics, or data mining conference would be more suitable for this submission. It is not clear where this paper could possibly fit within the JCDL agenda.","Overall evaluation: -3
Reviewer's confidence: 4
Recommend for best paper: no",-3,,,,,2/16/2018,3:52,no
74,21,288,Jeaxxxxxx Ogxx,3,"(OVERALL EVALUATION) This paper proposes a  study concerning the relationship between innovation and revenue generation for several Fortune 500 companies over a period of time. This kind of study is quite important since it permits to have a view on the amount to be invested for future research, according to the correlation between scientific production and economic performance. This study relies on two important parameters to evaluate research outputs which are respectively the quantity and quality of scientific papers and patents. 


Relying on a robust study of the patent citation dataset available in the Reed Technology Index collected from the US Patent Office, authors highlight some relations between parameters such as number of (i) patent applications, (ii) patent grants, (iii) patent citations and Fortune 500 ranks of companies. 
This analysis is crossed with a temporal analysis showing the trends over the time, and try to highlight causal explanation concerning the influence of these parameters.. Two use cases of industry giants illustrating?€?fierce technology competition and its effect on overall ranks is also discussed through a nice graph based analysis


The paper is very well written are argued, the data are perfectly presented, and the experimental conditions are correctly discussed?€?. However, the paper  raises several questions and comments that follow ?€?

First of all, the analysis proposes a study concerning several Fortune 500 companies, but doesn?€?t really make any disctinction between the nature of their activities while these nature could strongly infuuence the results of the analysis?€? For instance, the production industry may behave differently from the service industry. 
Regarding this aspect, the classification doesn?€?t really distinguish the enterprises issuing of the digital economy, while their business model is very different from ?€?historical?€? industry, especially in terms of patent management?€? These points should be discussed in a final version of the paper, in order to objectively assess the situation..
Another point deal with the classification in 3 buckets that conditions many conclusions of the paper. Even if this classification permits to structure the reasoning process, it would be interesting to add some comments about the influence of this classification on the global conclusions of the paper?€? What would have happened if a company had been classified in another bucket ? what would have been the conclusions if 4 or 5 buckets had been used?€?In reality, what is the impact of the choice of this classification in 3 buckets
Another more theoretical point point which raises a question is the correlation tool, that is used in many places in the paper. The correlation is an excellent analysis tool for some parts of the criteria which are studied in the paper, but I think that the paper could be enhanced by using more ?€?powerful?€? mathematical tools for such studies. This point is particularily true for the temporal analysis (trends in the time) for which some inter-correlation tools (coming from signal processing) or distances between distributions could also be interesting (Kulback distance or word mover?€?s distance for instance)?€? In order to cross more parameters, some techniques such as Principal component analysis could also be very useful ?€?
In the 6th part, concerning the characteristic of temporal rank shift, the classification in 4 categories is discussable. It is discussable because it impacts the conclusion. Even if we can consider that the authors made a choice (which is ?€?their choice?€?), the way the classification is done could be improved?€? The thresholds which are retained for the classification (80%) and the distribution around these 80% (+/- 10 or +/-2 std deviation rely on theoretical assumptions which have nont been proved (normal distribution ? ) 
Concerning th e 7th part, which is very interesting, the construction of the graph should be more clearly explained ?€? The edges are explained, but nothing about the node is given?€? Are the nodes attributed ? 
Without these information it is quite difficult for the reader to extract the meaning of the graph. 
Furthermore the drawing of the figure 13 (graphs) permits to highlight some kind of ?€?patterns?€? in the graph.. It would nbe interesting to try to interpretate these patterns, as well explaining a little bit the global shape of the observed graph.

Besides these comments this paper is very interesting and shows how the crossing of different disciplines can help to analyze a societal question.

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) I hesitaed between weak accept and borderline. The topic is interesting. The way the problem is addressed is correct, but could be improved with more powerful theoretical tools. However, it is a nice transdisciplinary subject.","Overall evaluation: 1
Reviewer's confidence: 4
Recommend for best paper: no",1,,,,,2/16/2018,18:50,no
76,21,99,Jx Stexxxx,4,"(OVERALL EVALUATION) This is an interesting bibliometric analysis of the relationships among large corporations and patent production and use. As such, it definitely has many merits and has an audience that would appreciate it. However, after three readings of the paper, I cannot find myself making a case that this paper is in scope for JCDL. This paper is better suited for a informetrics conference or a business conference innovation conference.","Overall evaluation: -3
Reviewer's confidence: 5
Recommend for best paper: no",-3,,,,,2/18/2018,2:25,no
77,22,49,Juxxxx Fx,1,"(OVERALL EVALUATION) This paper uses health rumor data to evaluate users' trust in the material being rumored.

Several red-flags exist with this submission:
-- Wrong format (JCDL uses ACM/IEEE)
-- Submitted as double blind (JCDL uses single blind)
-- Poor use of space (3/4 of page 10 are white space)
-- No ties to JCDL topics (digital libraries, archiving, institutional knowledge)

Beyond this, the authors also utilize a flawed methodology by only using verified rumors to measure user trust rather than compare user trust in verified rumors vs non-rumors. Further, the authors rely heavily on the work by Zhang (as cited), but make no effort to compare their results or differentiate their work from the work of Zhang. It seems that explicit supporting or rejecting the proposed hypotheses would allow the authors to either support Zhang's findings (i.e., health rumors follow the same trust patterns as non-health rumors) or demonstrate that health rumors have special properties that make them different from non-health rumors.

This paper unfortunately is not suitable on any of its topic, presentation, or methods to be accepted to JCDL2018.","Overall evaluation: -3
Reviewer's confidence: 3
Recommend for best paper: no",-3,,,,,2/5/2018,19:40,no
80,22,10,Maxx Agxx,2,"(OVERALL EVALUATION) The research topic is relevant to JCDL and literature is well reviewed. 

Research hypotheses look reasonable and interesting, but the survey design doesn?€?t look fit very well for the research questions. The fact that all of the 30 participants are graduate students (22 master degree holder and 8 PhD candidate, and 14 participants major in social science) means that they are likely to have higher information literacy than the general public and to be critical to the rumors, thus they are unlikely to share general attitude toward online health rumors, as the authors briefly mentioned. Therefore, a direct comparison between precedent studies is difficult. A sugges for further research: making a similar survey with younger students with presumably lower information literacy and comparing the result with that of the present study would give insight into a role of information literacy education. 

The selection of the rumors used in the survey requires a more detailed explanation, especially because the rumors database (reference 33) is not accessible. Authors used such a broad word ?€?health?€? as a keyword and?€?randomly?€? selected rumors ?€?which include the proposed rumor presentation (picture, verification or hyperlink)?€?, but a criteria for selection, for example, the number of comments/retweets, classification of dread rumors and wish rumors (which are common classification for online health rumors), or categories of the health topic (such as dentists, beauty care, child care, diseases of aging people, etc.) could have improved the survey plan and been useful for data analysis. 

A little work for the presentation of the article would be required; tables shouldn?€?t divided into different pages/columns (tables 1 and 2), figures in table 3 should be right-aligned, the caption for the figure 3 should be beneath the figure rather than in the next column, and contents of sections 3.1 and 3.2 are partially redundant.

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) I changed my evaluation from ""1"" to ""-1"", though I didn't virtually change my comments (just added one phrase). Re-consideration of the problems of the paper which other reviews had pointed out, with which I agree, and I myself had wrote in my reivew made me change my evaluation.","Overall evaluation: -1
Reviewer's confidence: 3
Recommend for best paper: no",-1,,,,,2/22/2018,0:49,no
81,22,335,Frxxx Shxxxx,3,"(OVERALL EVALUATION) The study of what components make rumors trusted is important and particularly so with respect to health information.  The authors appear to use the term rumor to be misinformation although the term rumor could also be used to refer to correct information from a non-direct source.

While the study has numerous issues (small sample size of microblog posts, inappropriate study population), the results of the paper substantiate/reinforce prior results.   The authors acknowledge the issues with the study in the limitations section -- which is refreshing, but this seems really to be a decent pilot study for a more rigorous examination of the issues using a more appropriate study population and a larger set of microblog posts and/or variations of the same microblog post with/without the features being explored.","Overall evaluation: -2
Reviewer's confidence: 4
Recommend for best paper: no",-2,,,,,2/18/2018,19:11,no
82,22,390,Jenxxxxxx Wxx,4,"(OVERALL EVALUATION) This paper investigates the effect of rumor presentation on user trust 
in online health rumor.

In general, the papaer is clearly written.
However, in addition to the ANOVA test of the presence of pictures, verification, and hyperlinks,
there's no proposed method in distinguishing between rumors.

The contribution of the paper is not clear.

Also, the sample size in the experiment is too small with 30 students in the survey,
and 10 students in the interview.
The data size of 24 rumors is also not acceptable.
The experimental results are not convincing.","Overall evaluation: -2
Reviewer's confidence: 4
Recommend for best paper: no",-2,,,,,2/19/2018,3:28,no
83,23,375,Domxxxxx Tkxxxx,1,"(OVERALL EVALUATION) The paper is about semantic modelling, which is an important topic. The paper, however, is very chaotic and difficult to follow. The state of the art, the novel contributions, and the boundaries between the two are not clearly stated. It is therefore difficult to judge the novelty or relevance.

The paper is very abstract and lacks examples or diagrams that would help the reader to understand it. A lot of names appear without any definition or reference.

In addition, I think the abstract does not match the paper itself. For example, the authors write in the abstract: ""We explore the similarity of our approach to object-oriented analysis and modeling."" I don't see such a comparison in the paper.

For this reasons, I believe it should be rejected.","Overall evaluation: -2
Reviewer's confidence: 2
Recommend for best paper: no",-2,,,,,2/12/2018,15:07,no
85,23,60,Joxx Hx,3,"(OVERALL EVALUATION) The paper describes a mapping between ontological concepts and the object-oriented model. The goal of the authors is to provide rich descriptions of real life objects, based on the Human Activities and Infrastructures Foundry of ontologies. There is a good intellectual work behind the paper, that follows previous works of the authors. However, the paper includes several inconsistencies from the object-oriented perspective that need to be pointed out.

First of all, the paper is confusing and merges concepts of very different levels of abstraction without providing a clear rationale. 
The goal of the work is very ambitious since the authors try to build structured models of complex historical situations. They propose to use the conceptualization made in the HAIF, which seems to be a good option. However, at the same time, they put the focus on how its concepts map to Object-oriented concepts, making assumptions that are not exact. For instance, the authors claim that the goal of encapsulation in object-oriented programming is pairing of objects with methods, which is too simplistic and out of focus. Encapsulation is a programming technique used to ensure information hiding as a way of reducing coupling between modules, and later classes, in classical programming languages. Pairing objects woth methods would be a mean to ensure encapsulation, but not a goal on itself.

Quallities are clearly properties of objects that, surprisingly, are not mapped to attributes in object-orientes languages. Relational qualities, in turn, could be seen as associations (in UML terminology). Finally, there is another mistake when the authors associate UML with BPMN. There are completely different notations. In fact, UML has a much wider scope than BPMN, to the point that the so-called Activity Diagram in UML covers the same domain as BPMN, namely process modelling.

There is extensive literature on formal and object oriented modelling languages proposed in the early 1990s that explored the view of objects as observable processes. H. D. Erich, A. Sernadas, G. Saake and others developed families of languages that covered this view). Also, Yair Wand published a famous paper where he defined a direct mappingbetween the Mario BUnge?€?s ontology and the OO model:

An ontological model of an information system
Y Wand, R Weber - IEEE transactions on software engineering, 1990

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) The paper is confusing, with notorius inconsistencies regarding the Object oriented model.","Overall evaluation: -2
Reviewer's confidence: 4
Recommend for best paper: no",-2,,,,,2/15/2018,9:42,no
86,23,141,Cx Lxx,4,"(OVERALL EVALUATION) Based on previous work that proposed a Human Activities and Infrastructures Foundry (HAIF), this paper considers issues in the implementation of that Foundry. Previously they proposed a basic formal ontology BFO to describe their foundry.  This paper explore additions to the foundry ontologies to support formal modeling on Korean ceramic water droppers.

They then investigate two museum objects to identify some of the differences between descriptions of Universals and Particulars in the BFO, and explore the possibility of using their techniques to supplement traditional metadata.

There are several issues not discussed.

There were no actual examples given of the derived ontologies nor was there any discussion of the size of the ontology and how it would scale.

There is no discussion of how such an ontology would be evaluated.","Overall evaluation: -1
Reviewer's confidence: 3
Recommend for best paper: no",-1,,,,,2/16/2018,17:06,no
88,24,148,Sujxxxx Dxx,1,"(OVERALL EVALUATION) The proposed topic is of interest to the JCDL community and as the authors point out, the number of images being made available online and part of digital library collections is increasing.
Consequently, it is good to have a venue where people working on related topics and listed problems can gather to discuss status of research, practical aspects, and commercial solutions in these areas.

However, I am unable to judge if the listed authors were involved in similar workshop organization and have enough background and expertise on the topics mentioned in the proposal (based on their homepages) to be able to review and judge papers in the area.
The call for workshop specifically asks for the following information which is missing in the proposal.

??         identification of the expected audience and expected number of attendees
??         contact and biographical information about the organizers
??         if a workshop or closely related workshop has been held previously, information about the earlier sessions should be provided dates, locations, outcomes, attendance, etc.

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) The workshop sounds interesting and will be of value to the JCDL community.
However, I could not figure out the proposers' background and expertise on these specific topics and if they have organized similar workshops previously.","Overall evaluation: 0
Reviewer's confidence: 4",0,,,,,1/25/2018,5:34,no
89,24,381,Supxxxxxx Tuxxx,2,"(OVERALL EVALUATION) This workshop aims to bring together researchers and practitioners who deal with digital libraries of images and image retrieval. Image fields have played a big role in digital libraries recently, it would be nice to have a workshop that keep participants abreast of challenges and solutions in handling image collections.","Overall evaluation: 2
Reviewer's confidence: 4",2,,,,,1/26/2018,13:36,no
90,24,352,Laxxx Soxxxx,3,"(OVERALL EVALUATION) The workshop addresses a very interesting and relevant topic dealing with image collection. Recent advances in deep learning have increased the need for large-scale image collections, opening several challenges in terms of creation, organization, access, and use. 
The workshop format (one day) is accurate and allows enough time for discussion. The possible topics are interesting. 

Suggestion: I would add another one related to the creation/use of multi-modal collections (e.g., text/image) since both evidence sources are complementary and there are several contributions in terms of multi-modal retrieval, captioning, ....","Overall evaluation: 2
Reviewer's confidence: 3",2,,,,,1/27/2018,14:08,no
91,25,168,Daxxxx H,1,"(OVERALL EVALUATION) The paper proposed an entity relationship model and a set of visualization schemes.
Node-link graph, force-oriented layout and bubble map and etc. are used in the schemes.
The entity model include three entity sets: the main-entity set, the child-entity set and the secondary-entity set.
Two examples of applying the visualization scheme have been presented.

Strength and contributions:
An entity relationship model is proposed and a set of visualization schemes are proposed.
The model has high universality and enables quick search of related entities.
Detailed requirement, rendering method and exhibition schemes have been discussed.
Two visualization systems have been made for two datasets to show the applicability of the scheme.

Weakness and questions:
The novelty of the proposed scheme is limited or at least not well illustrated.
When first mention some algorithm or terms, it?€?s better to add the corresponding citations. For example, when force-oriented layout is mentioned in introduction, citations should be added. Otherwise it is not easy to follow.
In Chinese Medicine, how about two prescriptions with same medicine but different amount? They must be the same prescription?
In related work or introduction, there should be more clearer discussion on how this work differ from previous work.","Overall evaluation: 0
Reviewer's confidence: 3
Recommend for best paper: no",0,,,,,2/11/2018,20:09,no
92,25,1,Trxxx Aaxxxx,2,"(OVERALL EVALUATION) This full paper presents a query/resultset model and visualization scheme for data that consist of entities of multiple types that are interrelated. The initial contribution is a generalized model of main entity, with related child entities and secondary entity(ies), which is applied in the construction of search results and the visualization of the results. The method and visualization are explored two different use cases, which serve as a proof of concept, but otherwise there is no evaluation to validate the generic nature, applicability or usefulness of the solution. 

The contribution is relevant for the conference, but there are different elements of this paper that can be improved. I find that the maturity of the research is a bit below what we should expect for a full paper. 

I find the proposed generalized model interesting, but the paper lacks proper evidence that this is a common pattern. In knowledge bases with multiple entities, there are potentially many different entities that can serve as the main entity - depending on the user??s interest. This sort of implies to me, that such a model is more related to the presentation of results. The two use cases that utilizes this model, may at best serve as an indication that this is a reasonable generic design assumption. The paper has an emphasis on the visualizations, but only presents the solution and a major critique to the paper is the lack of evaluation of the results in terms of usability. A user study - or other form of evaluation - will significantly increase the value of this.

The paper is reasonably well structured, with relevant figures and illustrations. The language generally needs to be improved, and the numbered lists should have been properly formatted as lists. The space before the citations is systematically left out, but the list of references is relevant. In general, I find this contribution interesting and relevant, but will encourage the users to broaden the scope and maybe contextualize and relate to the field of entity search. An more systematic evaluation of either the usability of the  visualization or the general applicability of the proposed model, is needed.","Overall evaluation: -1
Reviewer's confidence: 4
Recommend for best paper: no",-1,,,,,2/14/2018,11:34,no
93,25,6,Alxxx Abduxxxxxxx,3,"(OVERALL EVALUATION) This paper presents a visualization scheme for displaying multi-entity relationship using the similarity correlation among the entities. The scheme was then demonstrated through the use of two datasets: a Chinese herbal medicine prescription dataset and a paper dataset.

This paper is interesting as it provides users with the capability of visualizing the multi-entity relationship within a search result. Within the visualizations, users are able to explore the similarity between the entities. However, the colors that are used in graphics make the visualizations hard to read. I would suggest the use of either ColorCAT (http://colorcat.org/) or ColorBrewer (http://colorbrewer2.org/) in the justification of the color usage. Although there is a section on the sample analysis, it would be nice to have a user evaluation to demonstrate the usability of the system (besides the authors of the paper). Perhaps a case study with domain experts, e.g., a pharmacist using the Chinese herbal medicine prescription dataset completing some defined tasks. I can understand the usage of the bubble graph in providing a more detailed class classification chart, but I was wondering whether the paper can also provide an explanation how it plans to address the issue of JND in using a bubble graph.

Some minor comments:
- Missing references:
* NEREx: Named-Entity Relationship Exploration in Multi-Party Conversations (https://dx.doi.org/10.1111/cgf.13181)
* WebVOWL: Web-based Visualization of Ontologies (https://link.springer.com/chapter/10.1007%2F978-3-319-17966-7_21)
- Some typos:
* Section 3.2: and and association -> and association
* Reference to the Chinese herbal medicine system database","Overall evaluation: -1
Reviewer's confidence: 3
Recommend for best paper: no",-1,,,,,2/14/2018,14:17,no
94,26,181,Nixx Hoxxxx,1,"(OVERALL EVALUATION) I think this paper has merit for a number of reasons, although some modification to its methodology would yield more rich results. It is relevant to the JCDL since it highlights practical and social issues related to digital libraries through its investigation of the scholarly literature about digital scholarship centers in academic libraries worldwide, with particular focus on China. They explained that China is in an early, exploratory stage regarding digital scholarship, so this preliminary study is novel and produces the beginnings of a framework for establishing these centers and services in their country.

I thought the methodology of searching academic databases and conducting content analysis on the results was well-intentioned, however they only searched Web of Science, ScienceDirect and Emerald (plus some professional reports) for English-language sources and three Chinese sources. If they intend to learn about digital scholarship services offered by university libraries, the academic literature will likely only provide evidence from other overview studies or individual institutions that have happened to publish about their services, which might not be representative of what's actually offered. Many digital scholarship centers offer information about their services on their websites, in blogs, on social media, etc. and further study of these sources might yield more reliable results about what institutions are actually offering. 

That being said, the authors did a good job analyzing what results they did get, and I liked their strategy of grouping digital scholarship services into broader categories for the purpose of constructing a framework. Groupings like this are interesting and needed within digital scholarship in order to better organize the wide array of services associated with the term. If they find additional services offered through more data/literature collection, they might consider revising or expanding them. The writing style was clear and understandable with a few small stylistic and grammatical errors that a quick copyedit could fix.","Overall evaluation: 2
Reviewer's confidence: 4
Recommend for best paper: no",2,,,,,2/9/2018,17:05,no
95,26,39,Toxxxx Blxxx,2,"(OVERALL EVALUATION) The paper provides an overview of digital scholarship activities in order to support further development in China. While it largely is an overview of existing literature, it could be interesting to the conference to understand some recent developments there. It is a detailed literature review but lacks a strong theoretical framework to bring together the various elements they identify as digital scholarship. It would have been nice to see some critical evaluation whether the hype around DS is justified.

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) I would think this works better as poster - if accepted.","Overall evaluation: 1
Reviewer's confidence: 4
Recommend for best paper: no",1,,,,,2/14/2018,13:15,no
97,26,397,Nicxxxxx Woxx,3,"(OVERALL EVALUATION) The authors are reporting on a national initiative to establish a theoretical framework for developing digital scholarship services within Chinese university libraries. The initiative itself could be relevant to JCDL audiences; however, the content of this paper is mostly a preliminary literature review. There are distracting grammatical errors and the discussion is fairly short. Table 1 wastes space that could be used for more detailed discussion. There is nothing novel or original in the conclusion. There is little regarding the unique or interesting factors affecting providing digital scholarship services in China. As the authors note, further empirical work needs to be done to support their framework.","Overall evaluation: -2
Reviewer's confidence: 4
Recommend for best paper: no",-2,,,,,2/15/2018,19:41,no
98,27,307,Anixxxx Prxxx,1,"(OVERALL EVALUATION) Summary of the review: 


Relevance to JCDL: The given work explicitly deals with the problem of domain specific linguistic variations in a big collection documents. 
The work present a cross-collection topic model combined with automatic domain term and phrase selection. The model achieves this by introducing different distributions (parameter) governing by the entropy for the collection-specific and collection-independent words.  


Novelty/Originality: The main novelty is treating domain specific text as something being generated from a distribution for common terms and another distribution for domain dependent terms (per domain) and training for the distributions jointly to maximise entropy. 

Assessment/Evaluation/Comparison: The proposed model is compared in details with the closest cross collection topics model. The authors perform explicit evaluation on perplexity and topic coherence as well as implicit evaluation on document classification to distinguish the words in two groups as mentioned. 


Style/quality of writing: The writing is good and overall the work is a pleasure to read. Different portions of the paper like motivation, background, technique etc are well weighted. 


Replicability: The experiments are generally replicable. The dataset is public and the experimental details are adequate to replicate the setup.   


Adequacy of references: The references are adequate from a focused task paper point of view.


General Queries:
1) recently there has been a lot of interest in using word embedding for compensating for the lack of semantic information in statistical LDA model? How do you think it compares with [1] (or many similar works)? Basically can word embedding compensate for facts that topic and apparatus mean the same thing (and hence maybe separate distributions are not needed)  

2) How does this model compare with hLDA where we can have hierarchy for domains and topics?


Minor:
line 29/1: ?€?Upto 4% better perplexity?€? use lower instead of better? since other two comparisons are higher and all three are better in some way.

line 22/2:Linguistic contrasts, such as domain-specific vocabulary, complicate topic modeling. Maybe the example paragraph follow directly after this line.


References:

[1] Das, Rajarshi, Manzil Zaheer, and Chris Dyer. ""Gaussian lda for topic models with word embeddings."" Proceedings of the 53rd Annual Meeting of the Association for Computational Linguistics and the 7th International Joint Conference on Natural Language Processing (Volume 1: Long Papers). Vol. 1. 2015.","Overall evaluation: 2
Reviewer's confidence: 3
Recommend for best paper: no",2,,,,,2/15/2018,19:51,no
99,27,107,Andxxxxx Ferxxxx,2,"(OVERALL EVALUATION) In the paper, the authors propose combine ccLDA with a measure of termhood for modeling multiple domain-specific text collections, tokenizing by phrase segmentation. They propose a novel topic model that splits the vocabulary into collection-specific and collection-independent words, according to entropy-based termhood measure.

They uses the entropy of hapax legonema for determining the threshold value to split the vocabulary into domain-specific and -independent words.

The paper is well written and organized, the references are suitable.

The paper is original and relevant to JCDL.

The authors compare their proposal with ccLDA under accuracy, topic coherence and perplexity measures. 

Please, put the equation of termhood in the text body.

At the link provided in the paper, I was unable to access the code of the work. This makes it difficult to replicate the work results. 

In the Datasets section, you must discuss how the articles from English, French and German Wikipedia are reduced to the minimum number of words.

In the Document Classification section, it is not clear what the values presented on Table 3 are. Are they average values from 10-fold cross validation?

A bracket is missing in the first equation at the Perplexity section.","Overall evaluation: 3
Reviewer's confidence: 3
Recommend for best paper: yes",3,,,,,2/16/2018,18:35,no
100,27,140,Cx Lxx,3,"(OVERALL EVALUATION) The authors present a cross-collection topic model combined with automatic domain term extraction and phrase segmentation. Their model distinguishes collection-specfic and collection-independent words based on information entropy and reveals commonalities and differences of multiple text collections. They evaluate their model on patents, scientific papers, newspaper articles, forum posts, and Wikipedia articles. In comparison with state-of-the-art cross-collection topic modeling, their model achieves higher topic coherence, better perplexity, and higher document classification accuracy. They claim there model results in very clear topic representations.

These are interesting results but on small data sets that are very disparate. There are several issues.

How will the models scale? Not well I suppose.

How does one measure ""clear-cut topic representations."" Just by looking? This claim is over stated and not evident from the tables.

It would have been more interesting to compare fields within computer science or within science. The areas compared are somewhat disjoint.

There are many missing relevant citations; here are a few.

Jo, Yookyung, John E. Hopcroft, and Carl Lagoze. ""The web of topics: discovering the topology of topic evolution in a corpus."" Proceedings of the 20th international conference on World wide web. ACM, 2011.

Du, Lan, Wray Lindsay Buntine, and Huidong Jin. ""Sequential latent dirichlet allocation: Discover underlying topic structures within a document."" Data Mining (ICDM), 2010 IEEE 10th International Conference on. IEEE, 2010.

He, Qi, et al. ""Detecting topic evolution in scientific literature: how can citations help?."" Proceedings of the 18th ACM conference on Information and knowledge management. ACM, 2009.

Wang, Xiaolong, Chengxiang Zhai, and Dan Roth. ""Understanding evolution of research themes: a probabilistic generative model for citations."" Proceedings of the 19th ACM SIGKDD international conference on Knowledge discovery and data mining. ACM, 2013.","Overall evaluation: 1
Reviewer's confidence: 4
Recommend for best paper: no",1,,,,,2/18/2018,15:17,no
